raw_time,MAPE_tuned,MAPE_without_tuned,1%_hit_rate_tuned,1%_hit_rate_without_tuned,5%_hit_rate_tuned,5%_hit_rate_without_tuned,10%_hit_rate_tuned,10%_hit_rate_without_tuned,15%_hit_rate_tuned,15%_hit_rate_without_tuned,20%_hit_rate_tuned,20%_hit_rate_without_tuned
11005,0.0033639102718305914,0.00611225924507966,0.959731543624161,0.8232662192393736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11006,0.003828313228351319,0.006068110873651511,0.9386973180076629,0.8122605363984674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11007,0.0031841542068402422,0.005988007428974961,0.952247191011236,0.8174157303370787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11008,0.0029847337065540772,0.00539177030384162,0.9691629955947136,0.8458149779735683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11009,0.0029810196772982844,0.00581629298724356,0.9614643545279383,0.8188824662813102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11010,0.003234757907940473,0.005880690999490557,0.9731285988483686,0.8291746641074856,1.0,0.9980806142034548,1.0,1.0,1.0,1.0,1.0,1.0
11011,0.0032480785340324677,0.005985581962182229,0.9572192513368984,0.8288770053475936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11012,0.0035078197434088836,0.006590418861639952,0.9456066945606695,0.7845188284518828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11101,0.0035599377233599292,0.0068540799140955596,0.9392523364485982,0.7780373831775701,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11102,0.003681266276637444,0.006684848393255057,0.9347826086956522,0.7857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11103,0.0033914944405182565,0.005854748435547332,0.9509433962264151,0.8528301886792453,0.9981132075471698,0.9981132075471698,1.0,1.0,1.0,1.0,1.0,1.0
11104,0.003196951717901068,0.0065437879450263026,0.9497607655502392,0.8157894736842105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11105,0.0038027199362355,0.006639966498535423,0.9507692307692308,0.7907692307692308,0.9969230769230769,0.9938461538461538,1.0,1.0,1.0,1.0,1.0,1.0
11106,0.003231125855359589,0.006519623294991822,0.9635854341736695,0.8123249299719888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11107,0.0035403898032800242,0.006514356622374651,0.9505494505494505,0.8021978021978022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11108,0.006956455259991355,0.007449275887227431,0.7531645569620253,0.7278481012658228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11109,0.00708523605352826,0.007778958592724559,0.7402597402597403,0.7467532467532467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11110,0.007372666953431714,0.007769042356494552,0.7226027397260274,0.7226027397260274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11111,0.006873968350156621,0.007059733153320715,0.7962085308056872,0.7630331753554502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11112,0.005780270811035863,0.006123432865764524,0.8076923076923077,0.6923076923076923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
